icao,type,name,latitude,longitude,elevation,country
HLGN,small_airport,Gamal Abdel Nasser Airport,31.861,23.907,519,LY
HLGT,medium_airport,Ghat Airport,25.1455993652,10.1426000595,2296,LY
HLKF,medium_airport,Kufra Airport,24.178699493408203,23.31399917602539,1367,LY
HLLB,medium_airport,Benina International Airport,32.096801757799994,20.2695007324,433,LY
HLLM,medium_airport,Mitiga Airport,32.894100189208984,13.276000022888184,36,LY
HLLQ,medium_airport,Al Abraq International Airport,32.7887,21.9643,2157,LY
HLLS,medium_airport,Sabha Airport,26.98699951171875,14.47249984741211,1427,LY
HLLT,large_airport,Tripoli International Airport,32.663502,13.159,263,LY
HLTD,medium_airport,Ghadames East Airport,30.15169906616211,9.715310096740724,1122,LY
HRYR,large_airport,Kigali International Airport,-1.96863,30.1395,4859,RW
HRZA,medium_airport,Kamembe Airport,-2.462239980697632,28.907899856567383,5192,RW
HSAT,small_airport,Atbara Airport,17.710344314575195,34.0570182800293,1181,SD
HSDN,medium_airport,Dongola Airport,19.1539001465,30.4300994873,772,SD
HSFS,medium_airport,El Fasher Airport,13.61489963531494,25.32460021972656,2393,SD
HSKA,medium_airport,Kassala Airport,15.387499809265137,36.328800201416016,1671,SD
HSNN,medium_airport,Nyala Airport,12.0535,24.9562,2106,SD
HSOB,medium_airport,El Obeid Airport,13.153200149536133,30.23270034790039,1927,SD
HSPN,medium_airport,Port Sudan New International Airport,19.4335994720459,37.23410034179688,135,SD
HSSK,large_airport,Khartoum International Airport,15.5895,32.5532,1265,SD
HSSM,medium_airport,Malakal Airport,9.55897045135498,31.65220069885254,1291,SS
HSSW,small_airport,Wadi Halfa Airport,21.802698,31.521578,933,SD
HSWW,medium_airport,Wau Airport,7.725830078119999,27.9750003815,1529,SS
HTAR,medium_airport,Arusha Airport,-3.3677899837493896,36.63330078125,4550,TZ
HTBU,small_airport,Bukoba Airport,-1.332,31.8212,3784,TZ
HTDA,large_airport,Julius Nyerere International Airport,-6.87811,39.202599,182,TZ
HTDO,medium_airport,Dodoma Airport,-6.17044,35.752602,3673,TZ
HTGW,medium_airport,Songwe Airport,-8.919942,33.273981,4412,TZ
HTKA,small_airport,Kigoma Airport,-4.8862,29.6709,2700,TZ
HTKJ,medium_airport,Kilimanjaro International Airport,-3.42941,37.074501,2932,TZ
HTLI,small_airport,Lindi Airport,-9.851005,39.75911,100,TZ
HTMT,medium_airport,Mtwara Airport,-10.336204,40.181997,371,TZ
HTMU,small_airport,Musoma Airport,-1.503,33.8021,3806,TZ
HTMW,medium_airport,Mwanza Airport,-2.4444899559021,32.932701110839844,3763,TZ
HTSY,small_airport,Shinyanga Airport,-3.6093,33.5035,3800,TZ
HTTB,small_airport,Tabora Airport,-5.076389789581299,32.83330154418945,3868,TZ
HTTG,medium_airport,Tanga Airport,-5.09236,39.071201,129,TZ
HTZA,large_airport,Abeid Amani Karume International Airport,-6.22202,39.224899,54,TZ
HUAR,medium_airport,Arua Airport,3.049152,30.911714,3951,UG
HUEN,large_airport,Entebbe International Airport,0.042386,32.443501,3782,UG
HUGU,medium_airport,Gulu Airport,2.805560111999512,32.27180099487305,3510,UG
HUSO,medium_airport,Soroti Airport,1.7276899814605713,33.622798919677734,3697,UG
HYL,seaplane_base,Hollis Clark Bay Seaplane Base,55.4816017151,-132.645996094,0,US
ID-0006,small_airport,Notohadinegoro Airport,-8.238056,113.694439,281,ID
ID-0011,small_airport,Banyuwangi International Airport,-8.31015,114.3401,112,ID
ID-0012,small_airport,Lasondre Airport,-0.01924,98.30097,30,ID
ID-0013,small_airport,Letkol Wisnu Airstrip,-8.14055555556,114.616666667,66,ID
ID-0094,small_airport,Long Rungan,3.5994,115.8418,2880,ID
ID-0139,small_airport,Syekh Hamzah Fansyuri Airport,2.2695,97.9666,17,ID
ID-0169,small_airport,Bawean - Harun Thohir Airport,-5.723628,112.678889,93,ID
ID-FOO,small_airport,Kornasoren Airfield,-0.936325013638,134.871994019,13,ID
ID-KRC,small_airport,Departi Parbo Airport,-2.093,101.4683,2600,ID
ID-TBM,small_airport,Tumbang Samba Airport,-1.4694,113.0833,160,ID
ID-ZGP,medium_airport,Bilogai-Sugapa Airport,-3.73956,137.031998,7348,ID
IN-0024,small_airport,Baramati Airport,18.226944,74.590833,1978,IN
IN-0025,small_airport,Faizabad Airport,26.7511282,82.1543651,350,IN
IN-0107,small_airport,Sindhudurg Airport,16.002552,73.529846,203,IN
IN-JGB,small_airport,Jagdalpur Airport,19.074301,82.036797,1822,IN
IN-VA47,small_airport,Jalgaon Airport,20.962678,75.627492,818,IN
ISG,medium_airport,New Ishigaki Airport,24.396389,124.245,102,JP
JIC,small_airport,Jinchuan Airport,38.5422222222,102.348333333,4740,CN
JIO,small_airport,Jos Orno Imsula Airport,-8.13911,127.9075,43,ID
JIQ,medium_airport,Qianjiang Wulingshan Airport,29.5133333333,108.831111111,2075,CN
JJD,medium_airport,Jericoacoara - Comandante Ariston Pessoa Regional Airport,-2.906425,-40.357338,89,BR
JRA,heliport,West 30th St. Heliport,40.754501,-74.007103,7,US
JUH,small_airport,Chizhou Jiuhuashan Airport,30.7403,117.6856,60,CN
KABE,medium_airport,Lehigh Valley International Airport,40.651773,-75.442797,393,US
KABI,medium_airport,Abilene Regional Airport,32.4113006592,-99.6819000244,1791,US
KABQ,medium_airport,Albuquerque International Sunport,35.040199,-106.609001,5355,US
