icao,type,name,latitude,longitude,elevation,country
03N,small_airport,Utirik Airport,11.222,169.852005,4,MH
03PN,heliport,M.P. Metals Heliport,41.066861,-76.180806,479,US
04VA,heliport,Russell County Medical Center Heliport,36.898,-82.078,2004,US
05AK,small_airport,Wasilla Creek Airpark,61.66830063,-149.1880035,620,US
0AK,small_airport,Pilot Station Airport,61.934601,-162.899994,305,US
12PA,heliport,Helicopter Applicators Inc Heliport,39.8495,-77.184167,612,US
14NY,heliport,Windy's Heliport,40.7975502014,-73.4179000854,222,US
16A,small_airport,Nunapitchuk Airport,60.905591,-162.440454,12,US
19P,seaplane_base,Port Protection Seaplane Base,56.328800201416,-133.61000061035,0,US
30TX,small_airport,Burg Lake Aero Airport,30.2323611,-98.6549722,1463,US
3LA7,heliport,Variable Bore Rams Heliport,30.076753,-91.948969,30,US
45NR,heliport,NHRMC-Ed North Heliport,34.316552,-77.768284,29,US
4A2,small_airport,Atmautluak Airport,60.866699,-162.272996,17,US
4K5,small_airport,Ouzinkie Airport,57.925362,-152.496715,55,US
4OR1,heliport,McNary ARNG Field Heliport,44.912,-123.001502752,209,US
5A8,medium_airport,Aleknagik / New Airport,59.2826004028,-158.617996216,66,US
6N5,heliport,East 34th Street Heliport,40.74259948730469,-73.97209930419922,10,US
7KA,small_airport,Tatitlek Airport,60.871449,-146.690297,62,US
84CO,heliport,Rampart Heliport,39.344239,-104.841906,6480,US
9A3,small_airport,Chuathbaluk Airport,61.579102,-159.216003,244,US
9Z8,small_airport,Levelock Airport,59.12606,-156.860906,39,US
A79,small_airport,Chignik Lake Airport,56.2550010681,-158.774993896,50,US
AEI,heliport,Algeciras Heliport,36.12882,-5.441079,98,ES
AF15,heliport,Qara Tepa Heliport,37.423302,69.430298,1437,AF
AGAF,small_airport,Afutara Aerodrome,-9.19138888889,160.948611111,23,SB
AGGA,small_airport,Gwaunaru'u Airport,-8.70257,160.682007,5,SB
AGGB,small_airport,Bellona/Anua Airport,-11.3022222222,159.798333333,60,SB
AGGE,small_airport,Ballalae Airport,-6.990745,155.886656,5,SB
AGGH,large_airport,Honiara International Airport,-9.428,160.054993,28,SB
AGGK,small_airport,Ngorangora Airport,-10.4497003555,161.897994995,54,SB
AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,-10.72029972076416,165.7949981689453,18,SB
AGGM,medium_airport,Munda Airport,-8.32797,157.263,10,SB
AGGN,small_airport,Nusatupe Airport,-8.09778022766,156.863998413,13,SB
AGGT,small_airport,Santa Ana Airport,-10.847994,162.454108,3,SB
AGGY,small_airport,Yandina Airport,-9.092816,159.21841,60,SB
AGKG,small_airport,Kaghau Airport,-7.3305,157.585,30,SB
AGOK,small_airport,Gatokae Aerodrome,-8.738358,158.202836,70,SB
AIP,small_airport,Ailinglaplap Airok Airport,7.279422,168.8257,16,MH
AMC,small_airport,Mar de Cortés International Airport,31.351987,-113.305177,71,MX
ANYN,medium_airport,Nauru International Airport,-0.547458,166.919006,22,NR
AR-0004,small_airport,Merlo Airport,-32.35820007324219,-65.01740264892578,796,AR
AR-0031,small_airport,San Andrés de Giles Airport,-34.470347,-59.42461,167,AR
ATP,small_airport,Aitape Airport,-3.14361111111,142.346805556,10,PG
AXF,medium_airport,Alxa Left Banner Bayanhot Airport,38.74831,105.58858,4560,CN
AYBK,medium_airport,Buka Airport,-5.422319889068604,154.67300415039062,11,PG
AYCH,medium_airport,Chimbu Airport,-6.024290084838867,144.9709930419922,4974,PG
AYDU,medium_airport,Daru Airport,-9.08675956726,143.207992554,20,PG
AYGA,medium_airport,Goroka Airport,-6.081689834590001,145.391998291,5282,PG
AYGN,medium_airport,Gurney Airport,-10.3114995956,150.333999634,88,PG
AYGR,medium_airport,Girua Airport,-8.80453968048,148.309005737,311,PG
AYHK,medium_airport,Kimbe Airport,-5.462170124053955,150.40499877929688,66,PG
AYIQ,small_airport,Aropa Airport,-6.305417,155.728139,20,PG
AYKA,small_airport,Losuia Airport,-8.505820274353027,151.08099365234375,27,PG
AYKI,small_airport,Kiunga Airport,-6.1257100105285645,141.28199768066406,88,PG
AYKK,small_airport,Kikori Airport,-7.424379825592041,144.2500762939453,50,PG
AYKM,medium_airport,Kerema Airport,-7.96361017227,145.770996094,10,PG
AYKV,medium_airport,Kavieng Airport,-2.57940006256,150.807998657,7,PG
AYKY,small_airport,Londolovit Airport,-3.04361009598,152.628997803,167,PG
AYMD,medium_airport,Madang Airport,-5.20707988739,145.789001465,20,PG
AYMH,medium_airport,Mount Hagen Kagamuga Airport,-5.826789855957031,144.29600524902344,5388,PG
AYMN,medium_airport,Mendi Airport,-6.14774,143.656998,5680,PG
AYMO,medium_airport,Momote Airport,-2.06189,147.423996,12,PG
AYMR,small_airport,Moro Airport,-6.36332988739,143.238006592,2740,PG
AYMS,small_airport,Misima Island Airport,-10.6892004013,152.837997437,26,PG
AYNZ,medium_airport,Nadzab Airport,-6.569803,146.725977,239,PG
AYPY,large_airport,Port Moresby Jacksons International Airport,-9.44338035583496,147.22000122070312,146,PG
AYTA,small_airport,Tari Airport,-5.84499979019,142.947998047,5500,PG
AYTB,small_airport,Tabubil Airport,-5.27861,141.225998,1570,PG
AYTI,small_airport,Tapini Airport,-8.35666666667,146.989166667,3100,PG
AYTK,medium_airport,Tokua Airport,-4.34046,152.380005,49,PG
AYVN,medium_airport,Vanimo Airport,-2.6926,141.3028,10,PG
AYWD,medium_airport,Wapenamanda Airport,-5.6433,143.895004,5889,PG
AYWK,medium_airport,Wewak International Airport,-3.58383011818,143.669006348,19,PG
AYWT,small_airport,Woitape Airport,-8.54583333333,147.2525,5200,PG
AYYR,small_airport,Yasuru Airport,-6.6015,146.1813,1520,PG
BBG,small_airport,Branson Airport,36.532082,-93.200544,1302,US
BGAA,medium_airport,Aasiaat Airport,68.7218017578,-52.7846984863,74,GL
BGAG,heliport,Aappilattoq (Qaasuitsup) Heliport,72.88703,-55.596287,42,GL
BGAM,heliport,Tasiilaq Heliport,65.612296,-37.618335,24,GL
BGAP,heliport,Alluitsup Paa Heliport,60.46445,-45.56917,54,GL
BGAQ,heliport,Aappilattoq (Kujalleq) Heliport,60.148357,-44.286916,30,GL
BGAS,heliport,Ammassivik Heliport,60.597376,-45.382445,71,GL
BGAT,heliport,Attu Heliport,67.9406628551,-53.6218696833,32,GL
BGBW,medium_airport,Narsarsuaq Airport,61.1604995728,-45.4259986877,112,GL
BGCH,heliport,Qasigiannguit Heliport,68.822815547,-51.1734473705,70,GL
BGCO,small_airport,Neerlerit Inaat Airport,70.7431030273,-22.6504993439,45,GL
BGET,heliport,Eqalugaarsuit Heliport,60.6197196536,-45.9140619636,9,GL
BGFD,heliport,Narsaq Kujalleq Heliport,60.004694,-44.656935,44,GL
BGGH,medium_airport,Godthaab / Nuuk Airport,64.190903,-51.678101,283,GL
BGGN,heliport,Qeqertarsuaq Heliport,69.251181993,-53.5148763657,9,GL
BGIA,heliport,Ikerasak Heliport,70.4981453548,-51.3030838966,66,GL
BGIG,heliport,Iginniarfik,68.1472255861,-53.1735277176,50,GL
BGIK,heliport,Ikerassaarsuk Heliport,68.14088100629999,-53.4414589405,165,GL
BGIL,heliport,Ilimanaq Heliport,69.0809150007,-51.1143153906,52,GL
BGIN,heliport,Innarsuit Heliport,73.199895,-56.010817,95,GL
BGIS,heliport,Isortoq Heliport,65.547792,-38.976552,92,GL
BGIT,heliport,Ikamiut Heliport,68.6342530984,-51.8322622776,49,GL
BGJH,heliport,Qaqortoq Heliport,60.7156841553,-46.0299186409,53,GL
BGJN,small_airport,Ilulissat Airport,69.2432022095,-51.0570983887,95,GL
BGKA,heliport,Kangaatsiaq Heliport,68.3126574861,-53.4602075815,17,GL
BGKK,small_airport,Kulusuk Airport,65.573600769,-37.1236000061,117,GL
BGKL,heliport,Upernavik Kujalleq Heliport,72.1527425265,-55.5309855938,92,GL
BGKM,heliport,Kuummiut Heliport,65.863935,-36.997919,89,GL
BGKQ,heliport,Kullorsuaq Heliport,74.57805,-57.226828,148,GL
BGKS,heliport,Kangersuatsiaq Heliport,72.381092,-55.536586,112,GL
BGKT,heliport,Kitsissuarsuit Heliport,68.85792599759999,-53.1232953072,18,GL
bgmo,heliport,Moriusaq Heliport,76.7534922147,-69.8450553417,44,GL
BGMQ,small_airport,Maniitsoq Airport,65.4124984741,-52.9393997192,91,GL
BGNK,heliport,Niaqornaarsuk Heliport,68.236381,-52.852148,152,GL
BGNQ,heliport,Nuugaatsiaq Heliport,71.5387687528,-53.2050383091,57,GL
BGNS,heliport,Narsaq Heliport,60.9172827256,-46.059923172,83,GL
BGNT,heliport,Niaqornat Heliport,70.789385,-53.662945,10,GL
BGNU,heliport,Nuussuaq Heliport,74.109853,-57.065037,184,GL
BGPT,small_airport,Paamiut Airport,62.0147361755,-49.6709365845,120,GL
BGQE,heliport,Qeqertaq Heliport,69.9958611087,-51.3009166718,69,GL
BGQQ,small_airport,Qaanaaq Airport,77.4886016846,-69.3887023926,51,GL
BGSC,heliport,Ittoqqortoormiit Heliport,70.4882288244,-21.9716799259,238,GL
BGSF,medium_airport,Kangerlussuaq Airport,67.0122218992,-50.7116031647,165,GL
BGSG,heliport,Sermiligaaq Heliport,65.9059197626,-36.3782536983,33,GL
BGSI,heliport,Siorapaluk Heliport,77.786517,-70.638657,102,GL
BGSQ,heliport,Saqqaq Heliport,70.011448,-51.932142,38,GL
BGSS,medium_airport,Sisimiut Airport,66.951302,-53.729301,33,GL
BGST,heliport,Saattut Heliport,70.811172,-51.63129,131,GL
BGSV,heliport,Savissivik Heliport,76.018613,-65.117683,24,GL
BGTL,medium_airport,Thule Air Base,76.5311965942,-68.7032012939,251,GL
BGTN,heliport,Tiniteqilaaq Heliport,65.892027,-37.783409,15,GL
BGTQ,heliport,Tasiusaq (Kujalleq) Heliport,60.1943053097,-44.8134469986,21,GL
BGUK,small_airport,Upernavik Airport,72.7901992798,-56.1305999756,414,GL
BGUM,heliport,Uummannaq Heliport,70.6804279261,-52.1116304398,50,GL
BGUQ,small_airport,Qaarsut Airport,70.7341995239,-52.6962013245,289,GL
BGUT,heliport,Ukkusissat Heliport,71.049438,-51.890016,223,GL
BIAR,medium_airport,Akureyri Airport,65.66000366210938,-18.07270050048828,6,IS
BIEG,medium_airport,Egilsstaðir Airport,65.2833023071289,-14.401399612426758,76,IS
BIGR,small_airport,Grímsey Airport,66.5458,-18.0173,66,IS
BIHN,medium_airport,Hornafjörður Airport,64.295601,-15.2272,24,IS
BIHU,medium_airport,Húsavík Airport,65.952301,-17.426001,48,IS
BIIS,medium_airport,Ísafjörður Airport,66.05809783935547,-23.135299682617188,8,IS
BIKF,large_airport,Keflavik International Airport,63.985001,-22.6056,171,IS
BIRK,medium_airport,Reykjavik Airport,64.1299972534,-21.9405994415,48,IS
BITN,small_airport,Þórshöfn Airport,66.218498,-15.3356,65,IS
BIVO,small_airport,Vopnafjörður Airport,65.72059631347656,-14.850600242614746,16,IS
BKPR,medium_airport,Priština Adem Jashari International Airport,42.5728,21.035801,1789,XK
BMQ,small_airport,Bamburi Airport,-3.983363,39.730982,52,KE
BOT,small_airport,Bosset Airport,-7.237257,141.1063222,80,PG
BR-0318,heliport,Cooperativa Lar Heliport,-25.27427,-54.067369,1601,BR
BR-0352,heliport,N. S. A. Heliport,-22.7384254,-45.540062,5663,BR
BR-0467,heliport,Batalhão de Operações Aéreas do CBMSC Heliport,-27.614324,-48.528333,13,BR
BR-0569,medium_airport,Glauber de Andrade Rocha Airport,-14.907885,-40.914804,2940,BR
BR-0925,small_airport,Fazenda Rosa do Deserto Airstrip,-13.240032,-39.759292,1411,BR
BZ-BCV,small_airport,Hector Silva Airstrip,17.269603,-88.776496,150,BZ
BZ-BGK,medium_airport,Big Creek Airport,16.519369,-88.407913,22,BZ
BZ-CUK,medium_airport,Caye Caulker Airport,17.735015,-88.032862,2,BZ
BZ-CYC,medium_airport,Caye Chapel Airport,17.683792,-88.044985,3,BZ
BZ-CZH,medium_airport,Corozal Municipal Airport,18.382200241088867,-88.41190338134766,40,BZ
BZ-DGA,medium_airport,Dangriga Airport,16.98250961303711,-88.23098754882812,508,BZ
BZ-PLJ,medium_airport,Placencia Airport,16.536956787109375,-88.36151123046875,3,BZ
BZ-PND,medium_airport,Punta Gorda Airport,16.102399826,-88.80829620360001,7,BZ
BZ-SJX,medium_airport,Sartaneja Airport,18.35610008239746,-88.13079833984375,3,BZ
BZ-SPR,medium_airport,John Greif II Airport,17.9139,-87.9711,4,BZ
BZ-TZA,medium_airport,Sir Barry Bowen Municipal Airport,17.51639,-88.194443,8,BZ
CAB3,seaplane_base,Bedwell Harbour Seaplane Base,48.75,-123.233001709,0,CA
CAE5,seaplane_base,Whistler/Green Lake Water Aerodrome,50.1436004639,-122.948997498,2100,CA
CAJ4,small_airport,Anahim Lake Airport,52.451501,-125.303776,3635,CA
CAM9,seaplane_base,Vancouver International Seaplane Base,49.177047,-123.168154,0,CA
CAX6,seaplane_base,Ganges Seaplane Base,48.8545,-123.4969,0,CA
CBBC,small_airport,Bella Bella (Campbell Island) Airport,52.185001,-128.156994,141,CA
CCA6,small_airport,Williams Harbour Airport,52.56689834594727,-55.784698486328125,70,CA
CCD4,small_airport,Postville Airport,54.9105,-59.78507,193,CA
CCK4,small_airport,St. Lewis (Fox Harbour) Airport,52.37279891967773,-55.67390060424805,74,CA
CCP4,small_airport,Port Hope Simpson Airport,52.528099060058594,-56.28609848022461,347,CA
CCR6,heliport,Campbell River (E & B Heli) Heliport,50.0413226692,-125.268448144,7,CA
CCX6,seaplane_base,Comox Seaplane Base,49.670601,-124.932999,0,CA
CCZ2,small_airport,Rigolet Airport,54.1796989440918,-58.45750045776367,180,CA
CEM3,small_airport,Whatì Airport,63.13169860839844,-117.24600219726562,882,CA
CFJ2,small_airport,Wekweètì Airport,64.190804,-114.077002,1208,CA
CJV7,small_airport,Summer Beaver Airport,52.70859909057617,-88.54190063476562,832,CA
CKB6,small_airport,Wapekeka Airport,53.84920120239258,-89.57939910888672,712,CA
CKL3,small_airport,Wunnumin Lake Airport,52.89390182495117,-89.28919982910156,819,CA
CKQ3,small_airport,North Spirit Lake Airport,52.4900016784668,-92.97109985351562,1082,CA
CL85,heliport,Sonoma Raceway Heliport Pad 1,38.158228,-122.456344,115,US
CN-0005,small_airport,Tangshan Sannühe Airport,39.7178001404,118.002624512,50,CN
CN-0024,medium_airport,Zhangjiakou Ningyuan Airport,40.7386016846,114.930000305,2347,CN
CN-0027,medium_airport,Baoshan Yunrui Airport,25.053301,99.168297,5453,CN
CN-0040,medium_airport,Lincang Boshang Airport,23.7381,100.025002,6230,CN
CN-0046,medium_airport,Shigatse Air Base,29.3519,89.311401,3782,CN
CN-0050,medium_airport,Bao'anying Airport,26.54,101.79852,1620,CN
CN-0061,medium_airport,Foshan Shadi Airport,23.0833,113.07,6,CN
CN-0062,small_airport,Bazhong Enyang Airport,31.73842,106.644872,1804,CN
CN-0067,medium_airport,Xinyang Minggang Airport,32.540819,114.079141,312,CN
CN-0068,medium_airport,Huizhou Pingtan Airport,23.049999,114.599998,50,CN
CN-0081,medium_airport,Jinggangshan Airport,26.856899,114.737,281,CN
CN-0082,medium_airport,Baise Youjiang Airport,23.7206,106.959999,490,CN
CN-0113,medium_airport,Altay Airport,47.749886,88.085808,2460,CN
CN-0122,heliport,Fuzhou Zhuqi Heliport,26.123906,119.113959,200,CN
CN-0130,medium_airport,Tianshui Maijishan Airport,34.559399,105.860001,3590,CN
CN-0143,medium_airport,Zhangye Ganzhou Airport,38.8018989563,100.675003052,5280,CN
CN-0189,medium_airport,Dandong Langtou Airport,40.0247,124.286003,30,CN
CN-NTG,small_airport,Nantong Airport,32.0708007812,120.975997925,16,CN
CNE3,small_airport,Bearskin Lake Airport,53.965599060058594,-91.0271987915039,800,CA
CNH2,small_airport,Natuashish Airport,55.913898,-61.184399,30,CA
CNM5,small_airport,Kingfisher Lake Airport,53.01250076293945,-89.85530090332031,866,CA
CNT3,small_airport,Ogoki Post Airport,51.6585998535,-85.9017028809,594,CA
CO-LCR,small_airport,La Chorrera Airport,-0.733333,-73.01667,709,CO
CO-TCD,small_airport,Tarapacá Airport,-2.894722,-69.747222,253,CO
CPV7,small_airport,Poplar Hill Airport,52.1133,-94.2556,1095,CA
CSU2,small_airport,Chisasibi Airport,53.80559921264648,-78.91690063476562,43,CA
CTB6,small_airport,Tête-à-la-Baleine Airport,50.67440032958984,-59.38359832763672,107,CA
CTU5,small_airport,La Tabatière Airport,50.8307991027832,-58.97560119628906,102,CA
CY-0002,medium_airport,Lefkoniko Airport / Geçitkale Air Base,35.235947,33.724358,146,CY
CYAB,small_airport,Arctic Bay Airport,73.006101,-85.04616,72,CA
CYAC,medium_airport,Cat Lake Airport,51.72719955444336,-91.82440185546876,1344,CA
CYAG,medium_airport,Fort Frances Municipal Airport,48.65420150756836,-93.439697265625,1125,CA
CYAM,medium_airport,Sault Ste Marie Airport,46.485001,-84.509399,630,CA
CYAQ,medium_airport,Kasabonika Airport,53.52470016479492,-88.6427993774414,672,CA
CYAS,medium_airport,Kangirsuk Airport,60.02719879150391,-69.99919891357422,403,CA
CYAT,medium_airport,Attawapiskat Airport,52.9275016784668,-82.43190002441406,31,CA
CYAX,medium_airport,Lac Du Bonnet Airport,50.294399,-96.010002,850,CA
CYAY,medium_airport,St. Anthony Airport,51.3918991089,-56.083099365200006,108,CA
CYAZ,medium_airport,Tofino / Long Beach Airport,49.079833,-125.775583,80,CA
CYBB,medium_airport,Kugaaruk Airport,68.534401,-89.808098,56,CA
CYBC,medium_airport,Baie-Comeau Airport,49.1325,-68.204399,71,CA
CYBD,medium_airport,Bella Coola Airport,52.387501,-126.596001,117,CA
CYBE,medium_airport,Uranium City Airport,59.5614013671875,-108.4810028076172,1044,CA
CYBF,medium_airport,Bonnyville Airport,54.304199,-110.744003,1836,CA
CYBG,medium_airport,CFB Bagotville,48.33060073852539,-70.99639892578125,522,CA
CYBK,medium_airport,Baker Lake Airport,64.29889678960001,-96.077796936,59,CA
CYBL,medium_airport,Campbell River Airport,49.950802,-125.271004,346,CA
CYBQ,medium_airport,Tadoule Lake Airport,58.7061,-98.512199,923,CA
CYBR,medium_airport,Brandon Municipal Airport,49.91,-99.951897,1343,CA
CYBT,medium_airport,Brochet Airport,57.8894,-101.679001,1136,CA
CYBV,medium_airport,Berens River Airport,52.358898,-97.018303,728,CA
CYBX,medium_airport,Lourdes de Blanc Sablon Airport,51.4435997009,-57.1852989197,121,CA
CYCA,medium_airport,Cartwright Airport,53.68280029296875,-57.041900634765625,40,CA
CYCB,medium_airport,Cambridge Bay Airport,69.1081008911,-105.138000488,90,CA
CYCD,medium_airport,Nanaimo Airport,49.05497,-123.869863,92,CA
CYCG,medium_airport,Castlegar/West Kootenay Regional Airport,49.2963981628,-117.632003784,1624,CA
CYCH,medium_airport,Miramichi Airport,47.007801,-65.449203,108,CA
CYCL,medium_airport,Charlo Airport,47.990799,-66.330299,132,CA
CYCO,medium_airport,Kugluktuk Airport,67.816704,-115.143997,74,CA
CYCS,medium_airport,Chesterfield Inlet Airport,63.3469009399,-90.7311019897,32,CA
CYCY,medium_airport,Clyde River Airport,70.4860992432,-68.5167007446,87,CA
CYDA,medium_airport,Dawson City Airport,64.04309844970703,-139.1280059814453,1215,CA
CYDF,medium_airport,Deer Lake Airport,49.21080017089844,-57.39139938354492,72,CA
CYDN,medium_airport,Dauphin Barker Airport,51.10079956054688,-100.052001953125,999,CA
CYDP,medium_airport,Nain Airport,56.549198150634766,-61.680301666259766,22,CA
CYDQ,medium_airport,Dawson Creek Airport,55.7422981262207,-120.18299865722656,2148,CA
CYEG,large_airport,Edmonton International Airport,53.3097000122,-113.580001831,2373,CA
CYEK,medium_airport,Arviat Airport,61.0942001343,-94.0708007812,32,CA
CYER,medium_airport,Fort Severn Airport,56.01890182495117,-87.67610168457031,48,CA
CYEV,medium_airport,Inuvik Mike Zubko Airport,68.30419921880001,-133.483001709,224,CA
CYFA,medium_airport,Fort Albany Airport,52.20140075683594,-81.6968994140625,48,CA
CYFB,medium_airport,Iqaluit Airport,63.756402,-68.555801,110,CA
CYFC,medium_airport,Fredericton Airport,45.868900299072266,-66.53720092773438,68,CA
CYFH,medium_airport,Fort Hope Airport,51.5619010925293,-87.90779876708984,899,CA
CYFJ,medium_airport,La Macaza / Mont-Tremblant International Inc Airport,46.409401,-74.779999,827,CA
CYFO,medium_airport,Flin Flon Airport,54.6781005859375,-101.68199920654295,997,CA
CYFS,medium_airport,Fort Simpson Airport,61.76020050048828,-121.23699951171876,555,CA
CYFT,medium_airport,Makkovik Airport,55.07690048217773,-59.1864013671875,234,CA
CYGB,medium_airport,Texada Gillies Bay Airport,49.69419860839844,-124.51799774169922,326,CA
CYGH,medium_airport,Fort Good Hope Airport,66.24079895019531,-128.6510009765625,268,CA
CYGK,medium_airport,Kingston Norman Rogers Airport,44.22529983520508,-76.5969009399414,305,CA
CYGL,medium_airport,La Grande Rivière Airport,53.625301361083984,-77.7042007446289,639,CA
CYGO,medium_airport,Gods Lake Narrows Airport,54.55889892578125,-94.49140167236328,617,CA
CYGP,medium_airport,Gaspé (Michel-Pouliot) Airport,48.7752990723,-64.4785995483,112,CA
CYGR,medium_airport,Îles-de-la-Madeleine Airport,47.42470169067383,-61.778099060058594,35,CA
CYGT,medium_airport,Igloolik Airport,69.3647003174,-81.8161010742,174,CA
CYGW,medium_airport,Kuujjuarapik Airport,55.28189849853516,-77.76529693603516,34,CA
CYGX,medium_airport,Gillam Airport,56.35749816894531,-94.71060180664062,476,CA
CYGZ,medium_airport,Grise Fiord Airport,76.4261016846,-82.90920257570001,146,CA
CYHA,medium_airport,Quaqtaq Airport,61.0463981628418,-69.6177978515625,103,CA
CYHD,medium_airport,Dryden Regional Airport,49.831699,-92.744202,1354,CA
CYHH,medium_airport,Nemiscau Airport,51.69110107421875,-76.1355972290039,802,CA
CYHI,medium_airport,Ulukhaktok Holman Airport,70.76280212402344,-117.80599975585938,117,CA
CYHK,medium_airport,Gjoa Haven Airport,68.635597229,-95.8497009277,152,CA
CYHM,medium_airport,John C. Munro Hamilton International Airport,43.1735992432,-79.93499755859999,780,CA
CYHO,medium_airport,Hopedale Airport,55.44829940795898,-60.22859954833984,39,CA
CYHR,medium_airport,Chevery Airport,50.46889877319336,-59.63669967651367,39,CA
CYHU,medium_airport,Montréal / Saint-Hubert Airport,45.5175018311,-73.4169006348,90,CA
CYHY,medium_airport,Hay River / Merlyn Carter Airport,60.8396987915,-115.782997131,541,CA
CYHZ,large_airport,Halifax / Stanfield International Airport,44.8807983398,-63.5085983276,477,CA
CYIK,medium_airport,Ivujivik Airport,62.41730117797852,-77.92530059814453,126,CA
CYIO,medium_airport,Pond Inlet Airport,72.6832962036,-77.9666976929,181,CA
CYIV,medium_airport,Island Lake Airport,53.857200622558594,-94.65360260009766,770,CA
CYJT,medium_airport,Stephenville Airport,48.5442008972168,-58.54999923706055,84,CA
CYKA,medium_airport,Kamloops Airport,50.7022018433,-120.444000244,1133,CA
CYKD,medium_airport,Aklavik/Freddie Carmichael Airport,68.223297,-135.00599,23,CA
CYKF,medium_airport,Waterloo Airport,43.4608001709,-80.3786010742,1055,CA
CYKG,medium_airport,Kangiqsujuaq (Wakeham Bay) Airport,61.5886001587,-71.929397583,501,CA
CYKL,medium_airport,Schefferville Airport,54.805301666259766,-66.8052978515625,1709,CA
CYKO,medium_airport,Akulivik Airport,60.81859970092773,-78.14859771728516,75,CA
CYKQ,medium_airport,Waskaganish Airport,51.47330093383789,-78.75830078125,80,CA
CYLA,medium_airport,Aupaluk Airport,59.29669952392578,-69.59970092773438,119,CA
CYLC,medium_airport,Kimmirut Airport,62.8499984741,-69.88330078119999,175,CA
CYLH,medium_airport,Lansdowne House Airport,52.19559860229492,-87.93419647216797,834,CA
CYLK,medium_airport,Lutselk'e Airport,62.418303,-110.681998,596,CA
CYLL,medium_airport,Lloydminster Airport,53.309200286865234,-110.072998046875,2193,CA
CYLU,medium_airport,Kangiqsualujjuaq (Georges River) Airport,58.71139907836914,-65.9927978515625,215,CA
CYLW,large_airport,Kelowna International Airport,49.9561,-119.377998,1421,CA
CYMH,medium_airport,Mary's Harbour Airport,52.30279922485352,-55.847198486328125,38,CA
CYMM,medium_airport,Fort McMurray Airport,56.653301239,-111.222000122,1211,CA
CYMO,medium_airport,Moosonee Airport,51.29109954833984,-80.60780334472656,30,CA
CYMT,medium_airport,Chapais Airport,49.77190017700195,-74.5280990600586,1270,CA
CYMU,medium_airport,Umiujaq Airport,56.53609848022461,-76.51830291748047,250,CA
CYNA,medium_airport,Natashquan Airport,50.18999862670898,-61.78919982910156,39,CA
CYNC,medium_airport,Wemindji Airport,53.01060104370117,-78.83110046386719,66,CA
CYND,medium_airport,Ottawa / Gatineau Airport,45.521702,-75.563599,211,CA
CYNE,medium_airport,Norway House Airport,53.95830154418945,-97.84420013427734,734,CA
CYNL,medium_airport,Points North Landing Airport,58.27669906616211,-104.08200073242188,1605,CA
CYOC,medium_airport,Old Crow Airport,67.57060241699219,-139.83900451660156,824,CA
CYOH,medium_airport,Oxford House Airport,54.93330001831055,-95.27890014648438,663,CA
CYOJ,medium_airport,High Level Airport,58.62139892578125,-117.16500091552734,1110,CA
CYOP,medium_airport,Rainbow Lake Airport,58.49140167236328,-119.40799713134766,1759,CA
CYOW,large_airport,Ottawa Macdonald-Cartier International Airport,45.3224983215332,-75.66919708251953,374,CA
CYPA,medium_airport,Prince Albert Glass Field,53.2141990662,-105.672996521,1405,CA
CYPC,medium_airport,Paulatuk (Nora Aliqatchialuk Ruben) Airport,69.3608381154,-124.075469971,15,CA
CYPE,medium_airport,Peace River Airport,56.226898,-117.446999,1873,CA
CYPH,medium_airport,Inukjuak Airport,58.471900939941406,-78.07689666748047,83,CA
CYPL,medium_airport,Pickle Lake Airport,51.4463996887207,-90.21420288085938,1267,CA
CYPM,medium_airport,Pikangikum Airport,51.81969833374024,-93.97329711914062,1114,CA
CYPO,medium_airport,Peawanuck Airport,54.98809814453125,-85.44329833984375,173,CA
CYPR,medium_airport,Prince Rupert Airport,54.2860984802,-130.445007324,116,CA
CYPW,medium_airport,Powell River Airport,49.83420181274414,-124.5,425,CA
CYPY,medium_airport,Fort Chipewyan Airport,58.7672004699707,-111.11699676513672,761,CA
CYQB,large_airport,Quebec Jean Lesage International Airport,46.7911,-71.393303,244,CA
CYQD,medium_airport,The Pas Airport,53.97140121459961,-101.09100341796876,887,CA
CYQG,medium_airport,Windsor Airport,42.27560043334961,-82.95559692382812,622,CA
CYQK,medium_airport,Kenora Airport,49.78829956054688,-94.36309814453124,1332,CA
CYQL,medium_airport,Lethbridge County Airport,49.6302986145,-112.800003052,3048,CA
CYQM,medium_airport,Greater Moncton Roméo LeBlanc International Airport,46.112202,-64.678596,232,CA
CYQN,medium_airport,Nakina Airport,50.18280029296875,-86.69640350341797,1057,CA
CYQQ,medium_airport,Comox Valley Airport / CFB Comox,49.7108,-124.887001,84,CA
CYQR,medium_airport,Regina International Airport,50.43190002441406,-104.66600036621094,1894,CA
CYQT,medium_airport,Thunder Bay Airport,48.37189865112305,-89.32389831542969,653,CA
CYQU,medium_airport,Grande Prairie Airport,55.1796989441,-118.885002136,2195,CA
CYQX,medium_airport,Gander International Airport,48.9369010925293,-54.56809997558594,496,CA
CYQY,medium_airport,Sydney / J.A. Douglas McCurdy Airport,46.1614,-60.047798,203,CA
CYQZ,medium_airport,Quesnel Airport,53.026100158691406,-122.51000213623048,1789,CA
CYRA,medium_airport,Rae Lakes Airport,64.11609649658203,-117.30999755859376,723,CA
CYRB,medium_airport,Resolute Bay Airport,74.7169036865,-94.9693984985,215,CA
